107
200
159	1
158	2
157	2
156	1
155	1
154	1
153	1
152	2
151	1
149	3
146	1
145	1
142	1
141	2
140	1
139	1
138	1
137	3
136	2
135	4
134	2
131	3
130	1
128	2
127	1
126	2
125	2
124	2
123	1
122	2
121	1
120	2
118	1
116	1
113	1
111	1
110	2
109	1
108	2
107	4
106	2
104	2
103	1
102	1
101	2
98	3
97	2
96	4
95	1
94	2
93	1
92	1
90	1
88	2
87	2
86	1
85	3
80	1
79	4
78	2
77	3
76	1
74	3
73	1
71	1
70	1
68	1
67	1
66	1
65	2
64	3
63	3
62	2
61	3
60	2
59	5
58	3
57	1
55	1
54	3
53	3
52	1
51	1
49	1
48	2
47	2
46	1
45	2
44	1
43	4
42	1
41	1
40	4
39	2
38	3
36	2
35	1
34	2
33	2
32	2
30	3
28	4
26	1
25	2
23	1
21	4
20	2
