121
300
210	2
208	3
206	2
205	1
204	1
201	1
200	4
199	2
196	1
195	1
193	1
192	1
191	1
190	2
188	1
187	2
186	1
185	1
183	2
182	1
181	2
180	1
179	2
178	1
175	1
173	3
172	3
169	3
168	1
167	1
166	1
165	2
164	1
162	1
161	1
160	1
157	1
156	1
154	2
153	3
152	1
151	1
150	2
147	1
146	2
145	1
143	1
142	2
141	1
140	2
138	2
137	3
135	2
134	3
133	1
131	1
127	1
126	1
122	2
121	3
120	2
119	1
117	1
116	2
114	1
113	1
111	2
110	1
107	2
102	2
101	2
99	3
98	6
97	1
96	1
95	1
94	3
92	2
91	1
90	1
89	1
88	1
86	2
85	1
82	1
81	1
80	1
79	3
78	1
77	2
74	2
73	4
70	4
69	2
68	1
67	2
65	1
64	1
63	1
60	1
58	1
57	1
56	4
55	1
54	3
53	2
52	1
51	2
49	2
45	2
44	1
43	1
42	1
40	1
39	2
37	1
34	3
33	2
32	1
31	2
30	1
