85
200
140	1
139	2
138	1
137	4
136	2
135	3
134	2
133	4
132	2
130	1
129	2
128	2
127	1
125	3
124	3
123	4
122	3
121	2
119	4
118	2
116	1
113	3
112	2
109	1
107	1
106	2
105	3
104	2
103	2
102	2
101	1
100	1
99	3
98	2
97	2
96	1
95	2
94	3
93	1
92	1
91	2
89	5
88	1
87	1
86	2
85	2
84	1
83	2
81	4
80	1
79	4
78	1
77	1
76	2
75	2
73	3
72	3
71	2
70	3
69	3
68	2
67	3
65	2
64	2
63	2
62	2
61	6
59	6
58	3
57	3
56	4
55	2
54	4
53	1
52	3
51	3
50	1
49	4
48	5
47	2
46	2
44	1
43	2
42	3
40	3
