88
150
120	3
119	1
118	4
117	3
116	4
115	3
114	3
113	1
111	1
110	1
109	2
107	3
106	2
105	3
104	3
103	5
102	4
101	4
100	2
99	1
98	2
97	1
96	2
95	3
93	3
91	4
90	2
89	1
88	1
86	3
85	4
84	2
83	2
82	2
81	6
80	2
79	1
76	4
75	2
73	1
72	3
71	3
69	1
68	4
66	3
65	1
64	1
63	4
61	1
60	2
58	1
57	2
56	1
55	2
54	4
53	2
50	2
48	1
47	2
46	1
45	1
43	2
42	1
41	4
40	3
39	4
38	3
37	1
36	1
34	1
33	2
32	2
31	1
30	3
29	1
28	3
27	4
26	2
24	2
23	2
22	1
21	2
20	2
19	2
18	2
17	1
16	3
15	2
