95
200
140	3
139	1
138	2
136	3
135	4
134	2
133	2
132	2
131	1
130	2
129	2
127	2
126	3
125	3
124	3
123	1
122	1
121	2
120	1
119	3
118	3
116	2
115	3
114	5
113	2
112	2
111	2
110	3
109	6
106	3
105	3
104	2
103	1
101	1
100	2
99	3
98	2
97	1
96	2
93	2
92	1
91	3
90	3
88	1
87	2
86	1
85	3
84	2
82	1
81	1
80	4
79	6
76	1
75	1
74	4
73	4
72	4
71	3
70	1
69	1
68	1
67	3
66	2
65	3
63	2
62	1
60	1
59	1
58	1
57	1
56	1
55	2
53	1
52	1
51	1
50	1
49	2
47	2
46	4
44	1
43	2
42	2
41	1
40	1
39	2
38	1
36	1
35	4
34	2
32	1
28	1
26	2
25	4
24	1
22	3
